2024-07-03 18:31:25 | INFO | proxy | proxy.py | Proxy is http://user-databurning-sessid-dpjjp2bj-sesstime-20-keep-true:databurning@pr.roxlabs.cn:4600
2024-07-03 18:31:25 | INFO | Request | Request.py | get: https://www.temu.com/api/server/_stm
2024-07-03 18:31:29 | INFO | Request | Request.py | get: https://www.temu.com/api/phantom/dm/wl/cg
2024-07-03 18:31:29 | INFO | Request | Request.py | get: https://www.temu.com/api/phantom/xg/pfb/a3
2024-07-03 18:31:29 | INFO | Request | Request.py | get: https://www.temu.com/api/phantom/xg/pfb/b
2024-07-03 18:31:31 | INFO | Request | Request.py | get: https://www.temu.com/api/phantom/xg/pfb/a3
2024-07-03 18:31:32 | INFO | Request | Request.py | get: https://www.temu.com/api/phantom/xg/pfb/b
2024-07-03 18:31:37 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/xg/pfb/a4
2024-07-03 18:33:50 | INFO | proxy | proxy.py | Proxy is http://user-databurning-sessid-3fx4w5f9-sesstime-20-keep-true:databurning@pr.roxlabs.cn:4600
2024-07-03 18:33:50 | INFO | Request | Request.py | get: https://www.temu.com/api/server/_stm
2024-07-03 18:33:53 | INFO | Request | Request.py | get: https://www.temu.com/api/phantom/dm/wl/cg
2024-07-03 18:33:53 | INFO | Request | Request.py | get: https://www.temu.com/api/phantom/xg/pfb/a3
2024-07-03 18:33:53 | INFO | Request | Request.py | get: https://www.temu.com/api/phantom/xg/pfb/b
2024-07-03 18:33:56 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/xg/pfb/a4
2024-07-03 18:40:39 | INFO | proxy | proxy.py | Proxy is http://user-databurning-sessid-pbr5eqvk-sesstime-20-keep-true:databurning@pr.roxlabs.cn:4600
2024-07-03 18:40:56 | INFO | Request | Request.py | get: https://www.temu.com/api/server/_stm
2024-07-03 18:41:00 | INFO | Request | Request.py | get: https://www.temu.com/api/phantom/dm/wl/cg
2024-07-03 18:41:00 | INFO | Request | Request.py | get: https://www.temu.com/api/phantom/xg/pfb/a3
2024-07-03 18:41:00 | INFO | Request | Request.py | get: https://www.temu.com/api/phantom/xg/pfb/b
2024-07-03 18:41:04 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/xg/pfb/a4
2024-07-03 18:41:06 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/xg/pfb/a4
2024-07-03 18:41:09 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/xg/pfb/a4
2024-07-03 18:51:54 | INFO | proxy | proxy.py | Proxy is http://user-databurning-sessid-vdruggjl-sesstime-20-keep-true:databurning@pr.roxlabs.cn:4600
2024-07-03 18:51:54 | INFO | Request | Request.py | get: https://www.temu.com/api/server/_stm
2024-07-03 18:51:58 | INFO | Request | Request.py | get: https://www.temu.com/api/phantom/dm/wl/cg
2024-07-03 18:51:58 | INFO | Request | Request.py | get: https://www.temu.com/api/phantom/xg/pfb/a3
2024-07-03 18:51:58 | INFO | Request | Request.py | get: https://www.temu.com/api/phantom/xg/pfb/b
2024-07-03 18:52:00 | INFO | Request | Request.py | get: https://www.temu.com/api/phantom/xg/pfb/a3
2024-07-03 18:52:00 | INFO | Request | Request.py | get: https://www.temu.com/api/phantom/dm/wl/cg
2024-07-03 18:52:05 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/xg/pfb/a4
2024-07-03 19:01:08 | INFO | proxy | proxy.py | Proxy is http://user-databurning-sessid-ra1gnc3v-sesstime-20-keep-true:databurning@pr.roxlabs.cn:4600
2024-07-03 19:01:08 | INFO | Request | Request.py | get: https://www.temu.com/api/server/_stm
2024-07-03 19:01:12 | INFO | Request | Request.py | get: https://www.temu.com/api/phantom/dm/wl/cg
2024-07-03 19:01:12 | INFO | Request | Request.py | get: https://www.temu.com/api/phantom/xg/pfb/a3
2024-07-03 19:01:12 | INFO | Request | Request.py | get: https://www.temu.com/api/phantom/xg/pfb/b
2024-07-03 19:01:16 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/xg/pfb/a4
2024-07-03 19:01:19 | INFO | Request | Request.py | post: https://www.temu.com/api/phantom/xg/pfb/a4
