2024-04-28 19:28:36 | INFO | request | request.py | get: https://www.temu.com/
2024-04-28 19:29:38 | INFO | proxy | proxy.py | Proxy is http://user-databurning-sessid-s2iwihus-sesstime-20-keep-true:databurning@43.128.74.58:30111
2024-04-28 19:29:38 | INFO | request | request.py | get: https://www.temu.com/
2024-04-28 19:29:44 | INFO | request | request.py | get: https://www.temu.com/api/server/_stm
2024-04-28 19:29:55 | INFO | proxy | proxy.py | Proxy is http://user-databurning-sessid-jxe77rnp-sesstime-20-keep-true:databurning@43.128.74.58:30111
2024-04-28 19:29:55 | INFO | request | request.py | get: https://www.temu.com/
2024-04-28 19:30:03 | INFO | proxy | proxy.py | Proxy is http://user-databurning-sessid-sd2aukwl-sesstime-20-keep-true:databurning@43.128.74.58:30111
2024-04-28 19:30:03 | INFO | request | request.py | get: https://www.temu.com/
2024-04-28 19:30:07 | INFO | request | request.py | get: https://www.temu.com/api/server/_stm
2024-04-28 19:30:08 | INFO | request | request.py | get: https://www.temu.com/api/phantom/dm/wl/cg
2024-04-28 19:30:08 | INFO | request | request.py | get: https://www.temu.com/api/phantom/xg/pfb/a3
2024-04-28 19:30:08 | INFO | request | request.py | get: https://www.temu.com/api/phantom/xg/pfb/b
2024-04-28 19:30:08 | INFO | request | request.py | post: https://www.temu.com/api/phantom/xg/pfb/a4
2024-04-28 19:30:08 | INFO | request | request.py | get: https://www.temu.com/api/phantom/xg/pfb/l1
2024-04-28 19:30:11 | INFO | request | request.py | post: https://eu.thtk.temu.com/c/th.gif
2024-04-28 19:30:11 | INFO | request | request.py | post: https://eu.thtk.temu.com/c/th.gif
2024-04-28 19:30:11 | INFO | request | request.py | post: https://eu.thtk.temu.com/c/th.gif
2024-04-28 19:30:11 | INFO | request | request.py | post: https://eu.thtk.temu.com/c/th.gif
2024-04-28 19:30:13 | INFO | request | request.py | post: https://eu.thtk.temu.com/c/th.gif
2024-04-28 19:30:13 | INFO | request | request.py | post: https://eu.thtk.temu.com/c/th.gif
2024-04-28 19:30:13 | INFO | request | request.py | post: https://eu.thtk.temu.com/c/th.gif
2024-04-28 19:30:13 | INFO | request | request.py | post: https://eu.thtk.temu.com/c/th.gif
2024-04-28 19:30:16 | INFO | temu | temu.py | 开始验证
2024-04-28 19:30:16 | INFO | request | request.py | get: https://www.temu.com/api/adx/cm/ttc?scene=1&type=0
2024-04-28 19:30:18 | INFO | request | request.py | get: https://www.temu.com/api/alexa/homepage/goods_list
2024-04-28 19:30:22 | INFO | request | request.py | post: https://www.temu.com/api/poppy/v1/opt_list?scene=opt_list_all
2024-04-28 19:30:24 | INFO | temu | temu.py | 接口出现验证码,开始验证 token:TzRefR9S1kq01SxA_l0tbA9b85dabf83c8caf54
2024-04-28 19:30:24 | INFO | verify_captcha | verify_captcha.py | 验证码识别开始
